TIME,Issue Type,Approval Level 
1:00,ADR,ARB
1:00,ADR,ARB
1:00,ADR,ARB
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,ARB
1:00,ADR,ARB
1:00,ADR,ARB
1:00,ADR,ARB
1:00,ADR,ARB
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,ARB
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,Portfolio
1:00,ADR,Portfolio
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,ARB
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,Portfolio
1:00,ADR,Portfolio
1:00,ADR,Portfolio
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,ARB
1:00,ADR,Tech Oversight
1:00,ADR,Tech Oversight
1:00,ADR,ARB
1:00,ADR,ARB
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,Portfolio
1:00,ADR,Portfolio
1:00,ADR,Portfolio
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,Portfolio
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,ARB
1:00,ADR,Portfolio
1:00,ADR,Portfolio
1:00,ADR,Portfolio
1:00,ADR,Project
1:00,ADR,Portfolio
1:00,ADR,Portfolio
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,Portfolio
1:00,ADR,Portfolio
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,Project
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,ARB
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,Project
1:00,ADR,ARB
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,ARB
1:00,ADR,Portfolio
1:00,ADR,ARB
1:00,ADR,Portfolio
3:00,Blueprint,ARB
3:00,Blueprint,ARB
3:00,Blueprint,ARB
3:00,Blueprint,ARB
3:00,Blueprint,ARB
3:00,Blueprint,ARB
3:00,Blueprint,Portfolio
3:00,Blueprint,ARB
3:00,Blueprint,Design Authority
3:00,Blueprint,ARB
3:00,Blueprint,Portfolio
3:00,Blueprint,ARB
3:00,Blueprint,Portfolio
3:00,Blueprint,Portfolio
3:00,Blueprint,Design Authority
3:00,Blueprint,Portfolio
3:00,Blueprint,ARB
3:00,Blueprint,Portfolio
3:00,Blueprint,ARB
3:00,Blueprint,Portfolio
3:00,Blueprint,Portfolio
3:00,Blueprint,Portfolio
3:00,Blueprint,Portfolio
3:00,Blueprint,ARB
3:00,Blueprint,Portfolio
3:00,Blueprint,ARB
3:00,Blueprint,Portfolio
3:00,Blueprint,ARB
3:00,Blueprint,Portfolio
3:00,Blueprint,ARB
3:00,Blueprint,ARB
3:00,Blueprint,ARB
3:00,Blueprint,Portfolio
3:00,Blueprint,ARB
3:00,Blueprint,Portfolio
3:00,Blueprint,ARB
3:00,Blueprint,ARB
3:00,Blueprint,ARB
3:00,Blueprint,ARB
3:00,Blueprint,Portfolio
3:00,Blueprint,ARB
3:00,Blueprint,Portfolio
3:00,Blueprint,ARB
3:00,Blueprint,ARB
3:00,Blueprint,ARB
3:00,Blueprint,ARB
3:00,Blueprint,ARB
3:00,Blueprint,Portfolio
3:00,Blueprint,ARB
3:00,Blueprint,ARB
3:00,Blueprint,Portfolio
3:00,Blueprint,ARB
3:00,Blueprint,ARB
3:00,Blueprint,EA
3:00,Blueprint,EA
3:00,Blueprint,EA
3:00,Blueprint,EA
5:00,POV,ARB
5:00,POV,Portfolio
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,Portfolio
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,Portfolio
5:00,POV,Portfolio
5:00,POV,Portfolio
5:00,POV,Portfolio
5:00,POV,Design Authority
5:00,POV,Portfolio
5:00,POV,Design Authority
5:00,POV,ARB
5:00,POV,Portfolio
5:00,POV,Portfolio
5:00,POV,Portfolio
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,Portfolio
5:00,POV,ARB
5:00,POV,Design Authority
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,Portfolio
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,Portfolio
5:00,POV,Design Authority
5:00,POV,Portfolio
5:00,POV,Portfolio
5:00,POV,Portfolio
5:00,POV,Portfolio
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,Portfolio
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,Portfolio
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,Portfolio
5:00,POV,ARB
5:00,POV,Portfolio
5:00,POV,Portfolio
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,Portfolio
5:00,POV,Portfolio
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,Tech Oversight
5:00,POV,Portfolio
5:00,POV,Portfolio
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,Tech Oversight
5:00,POV,ARB
5:00,POV,Project
5:00,POV,Portfolio
5:00,POV,Portfolio
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,Portfolio
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,Portfolio
5:00,POV,ARB
5:00,POV,ARB
5:00,POV,Portfolio
5:00,POV,Design Authority
5:00,POV,Tech Oversight
5:00,POV,Design Authority
5:00,POV,Tech Oversight
5:00,POV,EA
5:00,POV,Portfolio
5:00,POV,EA
5:00,POV,Portfolio
5:00,POV,Portfolio
7:00,Proof of Concept,Portfolio
7:00,Proof of Concept,Design Authority
7:00,Proof of Concept,Portfolio
7:00,Proof of Concept,ARB
7:00,Proof of Concept,Portfolio
7:00,Proof of Concept,ARB
7:00,Proof of Concept,Portfolio
7:00,Proof of Concept,ARB
7:00,Proof of Concept,ARB
7:00,Proof of Concept,Portfolio
7:00,Proof of Concept,ARB
